Title,Time ,User
How to start your restaurant and make a profit in 8 weeks!,62240,PFABEm3ELjV5bhOq9LwapHMnV2w1
Day trading strategy for all levels  with 72% success rate,50240,g28ct3WWrWXqP3Z0LhI2J01yOsX2
Data Analytics Using Elasticsearch & KibanaHands On!,1500,oICWcpjSH1XEMpSTGOHPJ71ABh33
Get Big Things Done Become a Standout Collaborator,12020,qbPxMpzHfOVFC7lXTY6cGprZJs82
International Expansion A Blueprint for Success,40140,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
A Complete Course on Microstrategy 101x BI tool,30210,JEsNTBIwgAQspysSe5FWhR80zY03
Drawing for Business Communication,11310,PFABEm3ELjV5bhOq9LwapHMnV2w1
How To Start A T Shirt Printing Business Sell Shirts Online,10550,g28ct3WWrWXqP3Z0LhI2J01yOsX2
Customer Service  Customer Relationship Management,50810,oICWcpjSH1XEMpSTGOHPJ71ABh33
Entrepreneurship and Small Business Mindsets for Success,2230,qbPxMpzHfOVFC7lXTY6cGprZJs82
The Advanced Real Estate Equity Waterfall Modeling Class,1400,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
Inventor Transform Your Idea Into Profits and Royalties,31520,JEsNTBIwgAQspysSe5FWhR80zY03
Customer Success Manager (CSM) Elite,50920,PFABEm3ELjV5bhOq9LwapHMnV2w1
First Sell YOU or You Will Never Sell Anything to Anybody!,21440,g28ct3WWrWXqP3Z0LhI2J01yOsX2
Trading Portfolio Expert Advisors + 100 EURUSD Strategies,50810,oICWcpjSH1XEMpSTGOHPJ71ABh33
11 Free Ways To Get Mass Traffic To Your Website in 2020!,720,qbPxMpzHfOVFC7lXTY6cGprZJs82
IT Risk Management,31950,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
High performance Stock Trading using key Options techniques,61420,JEsNTBIwgAQspysSe5FWhR80zY03
Certification in Renko Chart Trading & Taj Mahal Strategy,62330,PFABEm3ELjV5bhOq9LwapHMnV2w1
How to Buy Probate Real Estate,62350,g28ct3WWrWXqP3Z0LhI2J01yOsX2
Amazon Kindle Publishing Masterclass  Selfpublish an eBook,52330,oICWcpjSH1XEMpSTGOHPJ71ABh33
Make the most of your Adobe Illustrator & Photoshop skills,2240,qbPxMpzHfOVFC7lXTY6cGprZJs82
Financial Modeling for Startups,21500,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
Project Management Certification Training + 2 Practice Exams,1210,JEsNTBIwgAQspysSe5FWhR80zY03
Customer Acquisition Cost and Customer Lifetime Value,51940,PFABEm3ELjV5bhOq9LwapHMnV2w1
How To Start Your Own Cleaning Business,11120,g28ct3WWrWXqP3Z0LhI2J01yOsX2
Trading Biotech Stocks  Understanding the Healthcare Sector,10240,oICWcpjSH1XEMpSTGOHPJ71ABh33
The Complete Short Course on Ripple Cryptocurrency,10200,qbPxMpzHfOVFC7lXTY6cGprZJs82
Building a Niche Website Business From Home,11050,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
Data analysis with Tableau (with 3 downloadable datasets),50110,JEsNTBIwgAQspysSe5FWhR80zY03
Acumen Presents Mihir Desai on Demystifying Finance,22210,PFABEm3ELjV5bhOq9LwapHMnV2w1
The Business Startup Guide to Become an Entrepreneur,61100,g28ct3WWrWXqP3Z0LhI2J01yOsX2
Mastering Technical Analysis  Maximizing Trading Profits,60830,oICWcpjSH1XEMpSTGOHPJ71ABh33
Grant Writing How to Write Nonprofit Grants for Beginners,11550,qbPxMpzHfOVFC7lXTY6cGprZJs82
Ethical and Professional Human Resources (HR),50810,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
The Complete Advanced Accounting and Finance Course,61100,JEsNTBIwgAQspysSe5FWhR80zY03
YouTube Secrets 2020 Your Complete YouTube Masterclass!,22100,PFABEm3ELjV5bhOq9LwapHMnV2w1
Ethical Decision Making Framework,40020,g28ct3WWrWXqP3Z0LhI2J01yOsX2
