Title,Time ,User
SQL  MySQL for Data Analytics and Business Intelligence,21310,JEsNTBIwgAQspysSe5FWhR80zY03
The Complete Financial Analyst Training & Investing Course,11150,PFABEm3ELjV5bhOq9LwapHMnV2w1
The Ultimate HandsOn Hadoop  Tame your Big Data!,32000,g28ct3WWrWXqP3Z0LhI2J01yOsX2
The Complete Investment Banking Course 2020,20750,oICWcpjSH1XEMpSTGOHPJ71ABh33
How to Start an Amazon FBA Store on a Tight Budget,1840,qbPxMpzHfOVFC7lXTY6cGprZJs82
Deep Learning Prerequisites The Numpy Stack in Python (V2+),12030,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
Python for Finance Investment Fundamentals & Data Analytics,41300,JEsNTBIwgAQspysSe5FWhR80zY03
Forex Trading AZ™  With LIVE Examples of Forex Trading,2030,PFABEm3ELjV5bhOq9LwapHMnV2w1
Introduction to Finance  Accounting  Modeling and Valuation,51150,g28ct3WWrWXqP3Z0LhI2J01yOsX2
Write Better Emails Tactics for Smarter Team Communication,60230,oICWcpjSH1XEMpSTGOHPJ71ABh33
Beginning Project Management Project Management Level One,30700,qbPxMpzHfOVFC7lXTY6cGprZJs82
The Complete Shopify Aliexpress Dropship course,50450,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
Writing With Flair How To Become An Exceptional Writer,51110,JEsNTBIwgAQspysSe5FWhR80zY03
Agile Fundamentals Including Scrum and Kanban  2020,41700,PFABEm3ELjV5bhOq9LwapHMnV2w1
SQL for Data Analysis Weekender Crash Course for Beginners,60040,g28ct3WWrWXqP3Z0LhI2J01yOsX2
Sales Training Practical Sales Techniques,32320,oICWcpjSH1XEMpSTGOHPJ71ABh33
Ninja Writing The Four Levels Of Writing Mastery,21820,qbPxMpzHfOVFC7lXTY6cGprZJs82
Tableau 20 Advanced Training Master Tableau in Data Science,50750,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
Tableau for Beginners Get CA Certified  Grow Your Career,32320,JEsNTBIwgAQspysSe5FWhR80zY03
Conscious Listening,32000,PFABEm3ELjV5bhOq9LwapHMnV2w1
Email Etiquette Write More Effective Emails At Work,2250,g28ct3WWrWXqP3Z0LhI2J01yOsX2
The Complete Presentation and Public SpeakingSpeech Course,42320,oICWcpjSH1XEMpSTGOHPJ71ABh33
CAPM Exam Prep Seminar  PMBOK Guide  Sixth Edition,41950,qbPxMpzHfOVFC7lXTY6cGprZJs82
Robotic Process Automation  RPA Overview,41230,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
Power BI AZ HandsOn Power BI Training For Data Science!,60330,JEsNTBIwgAQspysSe5FWhR80zY03
Emotional Intelligence at Work Learn from Your Emotions,2140,PFABEm3ELjV5bhOq9LwapHMnV2w1
Powerful speaking,31940,g28ct3WWrWXqP3Z0LhI2J01yOsX2
eBay Drop Shipping Guide with No Inventory  Work From Home,1840,oICWcpjSH1XEMpSTGOHPJ71ABh33
The Complete Communication Skills Master Class for Life,50630,qbPxMpzHfOVFC7lXTY6cGprZJs82
Accounting in 60 Minutes  A Brief Introduction,12310,IED0Ji1oKHh7DZ9Jbg87mTHkYtu1
Blockchain AZ™ Learn How To Build Your First Blockchain,61050,JEsNTBIwgAQspysSe5FWhR80zY03
Six Sigma White Belt,60420,PFABEm3ELjV5bhOq9LwapHMnV2w1
Security Awareness Training,31710,g28ct3WWrWXqP3Z0LhI2J01yOsX2
